Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Collin Murray-Boyles,20,TOR,PF,6,3,128,12.1,.549,.298,.149,9.8,7.8,8.8,8.3,2.2,0.7,12.3,18.7,0.0,0.1,0.2,.057,-1.5,-1.6,-3.1,0.0,
Jose Alvarado,27,NOP,PG,7,0,127,14.4,.609,.694,.111,2.4,15.8,8.5,16.8,2.7,0.0,9.6,13.9,0.2,0.1,0.3,.096,-0.4,0.5,0.1,0.1,
Jalen Wilson,25,BRK,PF,7,0,125,7.8,.623,.688,.406,0.0,5.8,2.7,6.8,0.4,0.0,11.7,14.2,0.1,-0.1,0.0,.006,-2.6,-3.2,-5.8,-0.1,
Mouhamed Gueye,23,ATL,PF,8,1,124,13.8,.620,.500,.237,8.0,17.7,13.0,8.0,0.4,5.2,12.5,16.3,0.1,0.1,0.2,.096,-1.2,-0.3,-1.5,0.0,
Ziaire Williams,24,BRK,SF,6,0,123,14.1,.595,.717,.261,6.7,7.9,7.2,3.7,2.4,2.2,7.2,18.6,0.2,0.0,0.2,.075,-0.3,-1.7,-2.0,0.0,
Drew Eubanks,28,SAC,C,8,2,121,11.5,.585,.036,.571,3.7,18.7,11.2,2.2,1.9,6.8,18.6,15.1,-0.1,0.1,0.1,.023,-4.5,0.5,-4.0,-0.1,
Cam Whitmore,21,WAS,SF,8,0,119,10.4,.476,.317,.117,4.3,13.1,8.6,6.5,3.1,0.8,12.5,24.9,-0.3,0.1,-0.2,-0.084,-4.8,-1.6,-6.3,-0.1,
Andre Drummond,32,PHI,C,7,0,117,20.8,.624,.214,.393,17.9,33.2,25.5,4.6,2.4,5.5,5.7,12.2,0.3,0.2,0.5,.215,1.6,0.3,1.8,0.1,
Will Richard,23,GSW,SG,7,1,117,21.9,.806,.588,.382,7.9,8.9,8.4,14.7,3.7,0.0,11.2,16.3,0.4,0.2,0.6,.248,3.7,1.9,5.5,0.2,
Jalen Suggs,24,ORL,PG,6,6,117,18.7,.687,.561,.268,2.8,15.1,9.0,33.9,4.8,0.7,27.1,22.1,0.1,0.2,0.3,.142,-0.1,2.4,2.4,0.1,
Marvin Bagley III,26,WAS,PF,8,0,116,20.8,.755,.147,.382,12.2,17.1,14.6,16.2,1.2,2.3,13.1,16.2,0.4,0.0,0.4,.180,1.2,0.0,1.2,0.1,
Yves Missi,21,NOP,C,5,4,116,15.7,.671,.000,.727,14.6,16.3,15.4,9.3,0.4,5.4,21.6,13.5,0.2,0.0,0.2,.081,-1.1,-1.8,-3.0,0.0,
Jay Huff,27,IND,C,8,1,115,11.8,.531,.722,.167,4.8,10.4,7.4,7.8,0.4,9.8,9.4,14.9,0.0,0.2,0.2,.084,-2.8,1.2,-1.6,0.0,
Terrence Shannon Jr.,25,MIN,SG,7,0,115,4.8,.434,.393,.250,3.1,13.7,8.5,8.8,1.7,0.0,16.2,14.0,-0.1,0.0,-0.1,-0.037,-5.9,-1.0,-6.9,-0.1,
Joel Embiid,31,PHI,C,5,5,114,20.8,.540,.338,.366,6.8,20.1,13.3,22.6,2.1,6.4,14.5,34.8,0.0,0.2,0.2,.072,1.4,1.0,2.4,0.1,
Tyus Jones,29,ORL,PG,8,1,113,5.0,.385,.577,.000,2.9,4.9,3.9,12.7,1.7,1.5,13.3,10.9,-0.1,0.1,0.0,-0.001,-4.9,0.3,-4.6,-0.1,
Brook Lopez,37,LAC,C,7,0,112,9.9,.502,.766,.085,4.3,16.7,10.8,2.6,1.3,5.5,11.0,21.3,-0.1,0.1,0.0,-0.019,-2.8,-2.4,-5.1,-0.1,
Jakob Poeltl,30,TOR,C,5,5,112,9.3,.563,.000,.179,13.2,16.9,15.1,10.4,0.4,1.7,20.9,14.3,0.0,0.1,0.1,.045,-5.0,-1.6,-6.6,-0.1,
Jabari Walker,23,PHI,SF,8,5,111,6.7,.424,.222,.111,12.9,13.4,13.2,1.1,0.9,2.5,9.6,11.6,0.0,0.1,0.0,.021,-5.7,-2.3,-8.0,-0.2,
Ochai Agbaji,25,TOR,SG,8,0,110,5.6,.436,.458,.333,2.1,15.2,8.7,6.5,2.1,0.9,9.8,11.7,-0.1,0.1,0.0,.014,-6.1,0.1,-6.1,-0.1,
Jaxson Hayes,25,LAL,C,6,1,110,15.7,.748,.048,.333,8.3,20.2,14.7,13.4,0.9,2.7,11.1,10.5,0.3,0.1,0.4,.172,1.0,0.7,1.6,0.1,
Alex Caruso,31,OKC,SG,5,0,106,13.0,.518,.733,.067,1.0,7.9,4.6,13.7,4.6,2.9,8.9,13.8,0.0,0.2,0.3,.131,-2.0,3.2,1.2,0.1,
Anthony Edwards,24,MIN,SG,4,4,106,23.0,.623,.400,.308,3.3,11.7,7.6,18.3,0.9,1.8,10.9,34.0,0.2,0.0,0.2,.104,6.0,-2.3,3.7,0.2,
Luka Garza,27,BOS,C,8,0,104,15.6,.590,.448,.448,16.2,11.9,14.1,9.0,1.4,2.9,10.3,15.8,0.3,0.1,0.4,.179,-2.2,-0.3,-2.5,0.0,
Jalen Smith,25,CHI,C,7,0,103,17.0,.591,.563,.292,14.7,20.6,17.9,5.6,0.9,1.6,12.9,25.2,0.1,0.1,0.2,.103,-0.1,-2.3,-2.3,0.0,
Hugo González,19,BOS,SF,7,1,101,8.4,.481,.308,.000,5.2,10.0,7.5,6.5,3.0,1.0,7.1,11.8,0.0,0.1,0.2,.073,-5.1,1.0,-4.0,-0.1,
